SITE CODE= E4EìåãûêÁë„ìcãÊëÂéËí¨        ,38.1033,142.8600, 24,9.0,40613.6154873, 54.13, 94.51
 LAT.=   35.6890
 LON.=  139.7559
 SAMPLING RATE= 100Hz 
 UNIT  = gal(cm/s/s) 
INITIAL TIME = 2011 03 11 14 47 10
 NS,EW,UD
-0.046,-0.014,-0.025
-0.019,-0.008,-0.011
0.008,-0.010,0.007
0.023,-0.016,0.028
0.021,-0.021,0.046
0.012,-0.024,0.056
0.005,-0.029,0.054
0.003,-0.030,0.043
0.004,-0.021,0.030
0.003,0.003,0.022
-0.004,0.035,0.020
-0.017,0.060,0.019
-0.032,0.072,0.012
-0.041,0.068,0.002
-0.042,0.053,-0.005
-0.030,0.030,-0.008
-0.006,0.002,-0.007
0.029,-0.019,-0.007
0.067,-0.028,-0.009
0.093,-0.029,-0.010
0.095,-0.035,-0.006
0.074,-0.058,0.001
0.040,-0.088,0.010
0.005,-0.109,0.016
-0.025,-0.106,0.016
-0.052,-0.083,0.011
-0.077,-0.053,0.006
-0.095,-0.027,0.003
-0.100,-0.005,0.005
-0.090,0.019,0.011
-0.068,0.047,0.016
-0.040,0.076,0.015
-0.010,0.098,0.008
0.020,0.107,-0.001
0.048,0.098,-0.007
0.074,0.077,-0.005
0.092,0.051,0.001
0.099,0.026,0.003
0.090,0.000,-0.002
0.066,-0.035,-0.014
0.029,-0.078,-0.025
-0.010,-0.114,-0.029
-0.042,-0.125,-0.022
-0.058,-0.108,-0.011
-0.060,-0.074,-0.005
-0.050,-0.038,-0.006
-0.032,-0.009,-0.009
-0.009,0.019,-0.006
0.018,0.055,0.006
0.040,0.093,0.023
0.046,0.116,0.035
0.029,0.115,0.037
-0.010,0.089,0.032
-0.056,0.051,0.028
-0.092,0.007,0.029
-0.108,-0.037,0.032
-0.108,-0.075,0.035
-0.101,-0.096,0.035
-0.094,-0.094,0.035
-0.083,-0.079,0.039
-0.065,-0.067,0.044
-0.037,-0.066,0.045
0.003,-0.063,0.039
0.051,-0.035,0.024
0.094,0.014,0.007
0.119,0.060,-0.004
0.118,0.073,-0.006
0.093,0.049,0.001
0.058,0.013,0.016
0.028,-0.007,0.032
0.007,-0.010,0.047
-0.010,-0.009,0.059
-0.028,-0.014,0.069
-0.043,-0.025,0.075
-0.052,-0.032,0.073
-0.052,-0.037,0.061
-0.047,-0.043,0.040
-0.042,-0.047,0.018
-0.034,-0.039,0.004
-0.021,-0.013,0.003
-0.003,0.022,0.009
0.017,0.052,0.018
0.037,0.066,0.027
0.054,0.067,0.037
0.064,0.056,0.044
0.061,0.033,0.043
0.043,-0.001,0.027
0.016,-0.042,0.002
-0.011,-0.082,-0.023
-0.031,-0.110,-0.040
-0.045,-0.122,-0.049
-0.055,-0.113,-0.051
-0.062,-0.084,-0.042
-0.067,-0.045,-0.021
-0.066,-0.003,0.012
-0.057,0.037,0.049
-0.042,0.077,0.076
-0.024,0.114,0.089
-0.011,0.137,0.088
-0.007,0.136,0.075
-0.011,0.109,0.050
-0.018,0.066,0.012
-0.025,0.022,-0.032
-0.032,-0.019,-0.073
-0.035,-0.054,-0.097
-0.029,-0.077,-0.100
-0.010,-0.081,-0.083
0.015,-0.068,-0.057
0.038,-0.052,-0.031
0.050,-0.038,-0.010
0.050,-0.024,0.010
0.044,0.000,0.032
0.036,0.032,0.057
0.027,0.060,0.073
0.018,0.069,0.075
0.013,0.060,0.059
0.015,0.040,0.031
0.021,0.015,0.001
0.025,-0.016,-0.024
0.023,-0.055,-0.046
0.009,-0.091,-0.060
-0.015,-0.112,-0.066
-0.047,-0.118,-0.058
-0.073,-0.112,-0.037
-0.081,-0.095,-0.006
-0.065,-0.065,0.026
-0.035,-0.021,0.048
-0.012,0.028,0.054
-0.009,0.065,0.043
-0.024,0.075,0.020
-0.044,0.062,-0.007
-0.051,0.041,-0.037
-0.039,0.024,-0.065
-0.011,0.013,-0.086
0.021,0.001,-0.094
0.044,-0.012,-0.085
0.051,-0.019,-0.065
0.041,-0.009,-0.043
0.022,0.017,-0.024
0.005,0.044,-0.010
-0.007,0.054,0.001
-0.014,0.046,0.012
-0.020,0.031,0.021
-0.024,0.020,0.025
-0.022,0.016,0.021
-0.013,0.012,0.011
0.000,0.002,-0.001
0.015,-0.012,-0.012
0.024,-0.024,-0.016
0.026,-0.032,-0.014
